gene	driver_prob	is_driver	is_labeled
RAD21	0.55826545	1	1
SFTPC	0.55824095	0	0
CDH13	0.55817187	0	0
BAZ1B	0.55816233	0	0
FOS	0.55797327	0	0
SSBP1	0.5579375	0	0
PAPPA2	0.557699	0	1
CNOT1	0.55738366	0	0
ACTN1	0.5573613	0	0
SNAP25	0.55720216	0	0
CHEK1	0.55716217	0	0
MTIF2	0.55715406	0	0
CHMP4B	0.5570857	0	0
CD8A	0.5569003	0	0
CTBP2	0.55684876	0	0
ACTA2	0.55672216	0	0
MAOA	0.5566209	0	0
DCHS1	0.55657214	0	0
AMER1	0.5562719	1	1
ELN	0.5562295	0	0
CSNK2A2	0.55614483	0	0
RPL13	0.5560821	0	0
MSH2	0.5559905	1	1
ABL1	0.55581033	1	1
SACS	0.5556309	0	0
SLC17A6	0.55560267	0	0
ARL6IP1	0.5554388	0	0
GRM5	0.55535424	0	0
PSMD14	0.5552411	0	0
PIK3CG	0.5551568	0	0
MAD2L1	0.55501246	0	0
TAGLN	0.5549878	0	0
SERPING1	0.5549027	0	0
POLE	0.5548481	1	1
THBS2	0.55472815	0	0
EIF2S1	0.5546735	0	0
PCSK5	0.55435336	0	0
LRPPRC	0.55417657	0	0
POTEF	0.5540913	0	1
OFD1	0.5540029	0	0
GPC3	0.55394614	1	1
AP1G1	0.5537364	0	0
